[hide=DPP OU (1630 stats)][code]Combined usage for DPP OU (1630 stats)
+ ---- + ------------------ + ------- +
| Rank | Pokemon            | Percent |
| 164  | Bastiodon          |  0.009% |
| 165  | Shiftry            |  0.008% |
| 166  | Scyther            |  0.008% |
| 167  | Sandslash          |  0.008% |
| 168  | Banette            |  0.007% |
| 169  | Persian            |  0.007% |
| 170  | Rattata            |  0.007% |
| 171  | Meganium           |  0.007% |
| 172  | Linoone            |  0.006% |
| 173  | Kingler            |  0.006% |
| 174  | Venomoth           |  0.006% |
| 175  | Weedle             |  0.006% |
| 176  | Granbull           |  0.006% |
| 177  | Regice             |  0.006% |
| 178  | Relicanth          |  0.006% |
| 179  | Torkoal            |  0.005% |
| 180  | Altaria            |  0.005% |
| 181  | Machoke            |  0.005% |
| 182  | Sharpedo           |  0.005% |
| 183  | Hypno              |  0.005% |
| 184  | Golduck            |  0.004% |
| 185  | Piloswine          |  0.004% |
| 186  | Electabuzz         |  0.004% |
| 187  | Pinsir             |  0.004% |
| 188  | Regigigas          |  0.003% |
| 189  | Raticate           |  0.003% |
| 190  | Pelipper           |  0.003% |
| 191  | Tropius            |  0.003% |
| 192  | Sudowoodo          |  0.003% |
| 193  | Raichu             |  0.003% |
| 194  | Ninetales          |  0.003% |
| 195  | Pidgeot            |  0.003% |
| 196  | Parasect           |  0.003% |
| 197  | Delibird           |  0.002% |
| 198  | Dunsparce          |  0.002% |
| 199  | Whiscash           |  0.002% |
| 200  | Manectric          |  0.002% |
| 201  | Chansey            |  0.002% |
| 202  | Rotom              |  0.002% |
| 203  | Sableye            |  0.002% |
| 204  | Wailord            |  0.002% |
| 205  | Sneasel            |  0.002% |
| 206  | Kangaskhan         |  0.002% |
| 207  | Flareon            |  0.002% |
| 208  | Crawdaunt          |  0.002% |
| 209  | Stantler           |  0.001% |
| 210  | Swinub             |  0.001% |
| 211  | Trapinch           |  0.001% |
| 212  | Aron               |  0.001% |
| 213  | Mantine            |  0.001% |
| 214  | Politoed           |  0.001% |
| 215  | Masquerain         |  0.001% |
| 216  | Snover             |  0.001% |
| 217  | Remoraid           |  0.001% |
| 218  | Cherrim            |  0.001% |
| 219  | Mr. Mime           |  0.001% |
| 220  | Beedrill           |  0.001% |
| 221  | Rhydon             |  0.001% |
| 222  | Glalie             |  0.001% |
| 223  | Dusclops           |  0.001% |
| 224  | Lunatone           |  8.987% |
| 225  | Xatu               |  8.962% |
| 226  | Furret             |  8.762% |
| 227  | Caterpie           |  8.362% |
| 228  | Huntail            |  7.637% |
| 229  | Lumineon           |  7.487% |
| 230  | Zangoose           |  7.462% |
| 231  | Wigglytuff         |  7.237% |
| 232  | Delcatty           |  6.925% |
| 233  | Diglett            |  6.662% |
| 234  | Clamperl           |  6.662% |
| 235  | Bellossom          |  6.3E-% |
| 236  | Munchlax           |  6.237% |
| 237  | Eevee              |  5.575% |
| 238  | Grumpig            |  5.175% |
| 239  | Solrock            |  5.062% |
| 240  | Dewgong            |  4.912% |
| 241  | Haunter            |  4.887% |
| 242  | Arbok              |  4.775% |
| 243  | Corsola            |  4.562% |
| 244  | Illumise           |  4.337% |
| 245  | Pachirisu          |  3.587% |
| 246  | Misdreavus         |  3.412% |
| 247  | Exploud            |  3.237% |
| 248  | Magcargo           |  3.187% |
| 249  | Luvdisc            |  3.112% |
| 250  | Tangela            |  2.937% |
| 251  | Fearow             |  2.312% |
| 252  | Ariados            |  2.262% |
| 253  | Onix               |  2.225% |
| 254  | Hippopotas         |  2.199% |
| 255  | Chatot             |  2.099% |
| 256  | Kecleon            |  2.087% |
| 257  | Purugly            |  2.037% |
| 258  | Buizel             |  1.987% |
